Date,UBIT,Duration,Activity & Tool description
2/10/2022,adwibedi,1 hour,Working on the -f API
2/13/2022,adwibedi,1 hour,Working on the -r API with Baibhav
1/14/2022,adwibedi,2 hours,Working on min/max API with Baibhav
1/15/2022,adwibedi,20 mins,Pushing work onto Git and creating a pr
